component,size,class_name
1,1,UtilException
2,1,AdaptiveRungeKutta
3,1,AutoComplete
4,1,ComboBoxCellEditor
5,1,HalfUpFormat
6,1,ExponentFormat
7,1,FindRoot
8,1,Math2
9,1,UncertainValue2
10,1,Constraint
11,1,CSVReader
12,1,DescriptiveStatistics
13,1,EachRowEditor
14,1,ElementComboBoxModel
15,1,ElementTreePanel
16,1,Histogram
17,1,HTMLFormat
18,1,HTMLList
19,1,HtmlSelection
20,1,Integrator
21,1,Interval
22,1,LazyEvaluate
23,1,LevenbergMarquardt2
24,1,LevenbergMarquardtConstrained
25,1,LevenbergMarquardtParameterized
26,1,LinearLeastSquares
27,1,LinearLeastSquaresMS
28,1,LinearRegression
29,1,MCIntegrator
30,1,UncertainValueMC
31,1,MCUncertaintyEngine
32,1,MemberSet
33,1,MultiDHistogram
34,1,Pair
35,1,PoissonDeviate
36,1,PrintUtilities
37,1,ProgressEvent
38,1,Simplex
39,1,SpectrumPropertiesTableModel
40,1,StageRelocation
41,1,TextUtilities
42,1,Transform3D
43,1,Translate2D
44,1,UncertainValue
